City, percent, count, results
Paris, 0.005, 503, 261,842 208,466 209,619 207,682 207,876 
Paris, 0.01, 955, 438,731 361,141 364,306 364,303 365,991 
Paris, 0.015, 1438 614,15 524,616 523,513 576,278 524,752 
Paris, 0.02, 1957, 767,949 711,946 705,98 695,864 714,257 
Paris, 0.025, 2455, 943,991 884,985 879,424 887,555 880,696 
Paris, 0.03, 2927, 133,097 43,23 47,329 46,557 41,002 
Paris, 0.035, 3413, 265,637 202,282 208,263 204,6 211,181 
Paris, 0.04, 3888, 437,72 370,241 377,194 462,915 377,771 
Paris, 0.045, 4418, 613,04 559,87 552,252 644,233 526,46 
Paris, 0.05, 4881, 786,68 698,781 693,106 670,847 735,965 

NewYork, 0.005, 570, 310,701 239,002 236,456 273,783 235,516  
NewYork, 0.01, 1228, 572,14 509,617 510,479 516,765 510,735 
NewYork, 0.015, 1803, 737,574 675,506 670,705 668,708 677,829 
NewYork, 0.02, 2423, 940,796 900,898 871,965 870,87 883,732 
NewYork, 0.025, 2987, 140,526 89,149 77,886 81,062 63,437 
NewYork, 0.03, 3529, 331,118 282,482 273,535 310,672 270,889 
NewYork, 0.035, 4191, 558,844 503,479 497,287 503,071 489,003 
NewYork, 0.04, 4759, 759,426 690,379 685,41 695,134 692,516 
NewYork, 0.045, 5349, 966,677 897,429 901,009 870,022 904,835  
NewYork, 0.05, 5968, 206,721 110,582 115,561 106,456 75,1 

Hongkong, 0.005, 111, 92,983 45,368 44,967 45,047 44,882 
Hongkong, 0.01, 225, 132,712 83,759 79,215 85,511 83,366 
Hongkong, 0.015, 333, 171,417 124,622 120,964 121,336 120,826 
Hongkong, 0.02, 437, 256,856 134,235 176,546 168,402 166,995 
Hongkong, 0.025,553, 251,758 194,765 196,248 195,835 206,258 
Hongkong, 0.03, 663, 284,789 238,933 234,516 242,603 235,87 
Hongkong, 0.035, 780, 329,103 273,721 271,882 271,243 271,16 
Hongkong, 0.04, 883, 362,772 312,81 314,743 310,704 307,536 
Hongkong, 0.045, 997, 402,527 349,626 351,754 350,019 346,918 
Hongkong, 0.05, 1109, 430,424 414,651 395,988 386,763 424,511 

Barcelona, 0.005, 349, 198,722 147,272 146,631 145,914 155,497
Barcelona, 0.01, 667, 314,536 261,933 260,273 259,564 257,647 
Barcelona, 0.015, 1020, 439,091 392,531 385,989 387,158 387,345 
Barcelona, 0.02, 1375, 571,589 527,094 512,379 503,302 511,18 
Barcelona, 0.025, 1694, 747,744 621,059 625,525 632,353 628,351 
Barcelona, 0.03, 2018, 800,207 753,527 750,589 748,178 742,751 
Barcelona, 0.035, 2362, 908,24 882,399 870,885 872,589 863,555 
Barcelona, 0.04, 2725, 28,248 994,503 998,959 998,411 989,305
Barcelona, 0.045, 3035, 158,111 112,059 94,309 108,047 100,518 
Barcelona, 0.05, 3395, 293,901 234,73 238,911 223,877 233,987 



